species,median.ghm.500m,median.viirs.500m,median.pop.500m,median.ghm.1km,median.viirs.1km,median.pop.1km,median.ghm.2km,median.viirs.2km,median.pop.2km,median.ghm.5km,median.viirs.5km,median.pop.5km,range.median.ghm.500m,range.median.viirs.500m,range.median.pop.500m,range.median.ghm.1km,range.median.viirs.1km,range.median.pop.1km,range.median.ghm.2km,range.median.viirs.2km,range.median.pop.2km,range.median.ghm.5km,range.median.viirs.5km,range.median.pop.5km,overall.median.ghm.500m,overall.median.viirs.500m,overall.median.pop.500m,overall.median.ghm.1km,overall.median.viirs.1km,overall.median.pop.1km,overall.median.ghm.2km,overall.median.viirs.2km,overall.median.pop.2km,overall.median.ghm.5km,overall.median.viirs.5km,overall.median.pop.5km,relative.ghm.500m,relative.viirs.500m,relative.pop.500m,relative.ghm.1km,relative.viirs.1km,relative.pop.1km,relative.ghm.2km,relative.viirs.2km,relative.pop.2km,relative.ghm.5km,relative.viirs.5km,relative.pop.5km
Adelotus brevis,0.445559651,0.369545566,56.68096037,0.438231156,0.352040758,58.09688576,0.434565107,0.379074951,53.49481984,0.398136455,0.488825047,65.35419891,0.379865275,0.287767972,27.13399873,0.379818833,0.281273909,27.51791029,0.374576982,0.304481341,33.85035837,0.344713939,0.392234262,50.72902594,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.065694377,0.081777594,29.54696163,0.058412323,0.070766849,30.57897547,0.059988125,0.07459361,19.64446148,0.053422516,0.096590785,14.62517297
Austrochaperina fryi,0.041932909,0.15356434,0.330893516,0.043511289,0.154784445,0.522096834,0.046045019,0.152448124,1.037145956,0.04785939,0.149622583,1.289811096,0.424326227,0.592509456,169.7273653,0.418763706,0.631112579,168.0533491,0.397168807,0.548132876,126.6868186,0.350949803,0.534338252,74.18698314,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.382393318,-0.438945116,-169.3964717,-0.375252417,-0.476328134,-167.5312522,-0.351123788,-0.395684753,-125.6496726,-0.303090413,-0.384715669,-72.89717205
Austrochaperina pluvialis,0.356559547,0.323413074,139.419404,0.332541995,0.375704891,124.7203414,0.315356536,0.419783136,88.02153977,0.310106097,0.467039353,73.83572115,0.362873218,0.309714431,26.0948632,0.352213135,0.327554527,30.15683356,0.335226185,0.405046106,54.15635673,0.305861117,0.38788093,43.24548186,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.006313671,0.013698643,113.3245408,-0.01967114,0.048150364,94.56350786,-0.019869649,0.01473703,33.86518304,0.004244981,0.079158423,30.59023929
Cophixalus aenigma,0.037794287,0.15415517,0.269967259,0.037410504,0.153823372,0.38464903,0.038280993,0.15082555,0.682773754,0.038854132,0.148002251,0.788425427,0.045997768,0.153749611,0.481521156,0.045845357,0.154168761,0.58207197,0.046317425,0.15251243,1.029210548,0.046374253,0.150174064,1.203044065,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.008203481,0.000405559,-0.211553896,-0.008434853,-0.000345389,-0.19742294,-0.008036432,-0.001686881,-0.346436794,-0.007520121,-0.002171813,-0.414618638
Cophixalus australis,0.130811762,0.162647598,8.714916229,0.131505065,0.162495961,8.714916229,0.137030143,0.163619401,8.411777062,0.147341982,0.161909536,6.696345323,0.309762773,0.182477753,11.96379599,0.309849684,0.190582253,11.95936409,0.27467822,0.18548507,11.28472696,0.18610244,0.201613043,18.43825512,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.178951011,-0.019830155,-3.248879764,-0.178344619,-0.028086292,-3.244447861,-0.137648077,-0.021865669,-2.8729499,-0.038760457,-0.039703506,-11.7419098
Cophixalus hosmeri,0.038987551,0.154037632,0.285757675,0.038396266,0.153863024,0.420890547,0.038517368,0.150702638,0.699125724,0.038854776,0.148027616,0.788425427,0.038934391,0.154299878,0.26682994,0.038396266,0.153838952,0.377203918,0.038517368,0.150584123,0.699125724,0.039137781,0.147896897,0.793035861,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,5.32E-05,-0.000262247,0.018927735,0,2.41E-05,0.043686628,0,0.000118515,0,-0.000283006,0.000130719,-0.004610434
Cophixalus ornatus,0.30412782,0.183896192,17.36953185,0.296690185,0.185235287,17.39865134,0.27199495,0.178722183,16.6239233,0.302753831,0.186079417,17.59485186,0.380635035,0.396972303,116.1952367,0.368386138,0.456455385,116.2063641,0.350636202,0.450910535,87.99326351,0.311642178,0.377335213,46.17489355,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.076507215,-0.213076111,-98.8257049,-0.071695953,-0.271220097,-98.80771272,-0.078641252,-0.272188352,-71.3693402,-0.008888347,-0.191255796,-28.58004169
Crinia deserticola,0.232812732,0.198039555,6.275541306,0.229518829,0.216200717,6.276297502,0.214967053,0.218858086,6.413683562,0.194903873,0.186967676,6.520340676,0.272491438,0.26207452,11.45588873,0.274772736,0.268148071,14.86163997,0.261872149,0.267219064,15.77599674,0.217895289,0.282912723,14.33944307,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.039678706,-0.064034965,-5.180347426,-0.045253906,-0.051947355,-8.585342471,-0.046905096,-0.048360978,-9.36231318,-0.022991417,-0.095945047,-7.819102394
Crinia georgiana,0.69346073,4.614683483,277.8487879,0.703021988,4.603179276,413.8079221,0.673721668,4.250927202,587.9005823,0.599035401,4.95975454,371.9696122,0.675336649,3.586696573,297.5493829,0.676142339,3.820829535,403.1330683,0.656104603,3.878945701,529.4574099,0.574969969,3.581500077,354.234463,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.018124081,1.027986909,-19.70059496,0.026879648,0.782349742,10.67485378,0.017617064,0.371981502,58.44317239,0.024065433,1.378254463,17.73514923
Crinia glauerti,0.756319089,8.923544454,768.0658757,0.769589531,10.39402693,781.8617926,0.781075142,11.58293708,888.7386158,0.665977471,5.761411101,490.9010862,0.679234867,3.887515918,307.2795148,0.686027979,4.262282619,417.6054026,0.664080193,4.042006451,550.2648719,0.582210809,3.996880831,370.5127159,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.077084222,5.036028536,460.7863609,0.083561552,6.131744311,364.25639,0.116994949,7.540930625,338.4737439,0.083766663,1.76453027,120.3883704
